cdfr,cne,cpe,dfr,doc_id,doc_rel,doc_score,kernel,ne,pe,query_id,top_feat
[[1.20464455]],[[0.1310324]],[[0.27865228]],0.9603807739016917,LA022790-0091,0,9.807556,0,2.5923823967097883,2.6993276699801516,401,20
[[1.20459715]],[[0.13248765]],[[0.27983198]],0.961265632127866,LA022790-0091,0,9.807556,1,2.5905584365223437,2.6949454447756143,401,20
[[1.17959503]],[[0.11808486]],[[0.2523577]],0.9653884213598507,LA022790-0091,0,9.807556,2,2.7326768486878708,2.8306501178443897,401,20
[[1.17885133]],[[0.11845523]],[[0.25220022]],0.9599021120535802,LA022790-0091,0,9.807556,3,2.751781549410576,2.866731424856971,401,20
[[1.2025603]],[[0.0992395]],[[0.25096438]],0.9681621389540341,LA022790-0091,0,9.807556,4,2.7679531357123084,2.858976843179078,401,20
[[1.19306886]],[[0.12756418]],[[0.26874647]],0.9635340006516989,LA022790-0091,0,9.807556,5,2.6672036856722854,2.7681469298107664,401,20
[[1.20372786]],[[0.11725927]],[[0.26666088]],0.9658630348814432,LA022790-0091,0,9.807556,6,2.6967367004728056,2.792048772012299,401,20
[[1.2052884]],[[0.13611071]],[[0.28325097]],0.9616651649081027,LA022790-0091,0,9.807556,7,2.611492556531568,2.715594420830585,401,20
[[1.25416855]],[[0.16254801]],[[0.33226519]],0.9620152334204514,LA022790-0091,0,9.807556,8,2.440204192585245,2.536554628047919,401,20
[[1.19613564]],[[0.13691415]],[[0.27843815]],0.9616265173073523,LA022790-0091,0,9.807556,9,2.65996724475825,2.7661126194880907,401,20
[[1.19147979]],[[0.12653137]],[[0.26690436]],0.9606703358576306,LA022790-0091,0,9.807556,10,2.6718918902921542,2.7812786452980713,401,20
[[1.18585322]],[[0.12416356]],[[0.2614293]],0.9618124608997564,LA022790-0091,0,9.807556,11,2.721506838750324,2.8295608025335923,401,20
[[1.20024498]],[[0.12749226]],[[0.27305862]],0.9625161585476136,LA022790-0091,0,9.807556,12,2.6919095954947077,2.7967422381320413,401,20
[[1.21126442]],[[0.13631949]],[[0.28695956]],0.9650319560799316,LA022790-0091,0,9.807556,13,2.6008893594855085,2.69513288456334,401,20
