doc_id,doc_rel,doc_score,escore,intercept,kernel,local_pred,query_id,term_vector,top_feat
LA022790-0091,0,9.807556,1.0,9.807556,1,[9.807556],401,"[('accid', 0.0, 0.09603238920685246), ('american', 0.0, 0.19329823023068576), ('author', 0.0, 0.057609366296126625), ('carri', 0.0, 0.06522108212403958), ('center', 0.0, 0.06933269185033786), ('citi', 0.0, 0.058639505811145715), ('column', 0.0, 0.046114271709345254), ('desk', 0.0, 0.049649617886647214), ('determin', 0.0, 0.06420907875567212), ('diplomat', 0.0, 0.0889016445121524), ('edit', 0.0, 0.04756226014418656), ('embank', 0.0, 0.16301007656109565), ('februari', 0.0, 0.06638232973298923), ('foot', 0.0, 0.08937278058895987), ('foreign', 0.0, 0.05395483441443966), ('germani', 0.0, 0.37132389869779475), ('home', 0.0, 0.04917584874868581), ('hurt', 0.0, 0.19809770652568576), ('immedi', 0.0, 0.08378348573654067), ('injur', 0.0, 0.10009418051755066)]",20
LA022790-0091,0,9.807556,0.0,9.807556,5,[9.807556],401,"[('west', 6.022176780121146e-19, 0.3264367016899173), ('american', 3.566527624473496e-19, 0.19329823023068576), ('la022790', 3.268881622410691e-19, 0.17716630438649636), ('road', 2.8634612018182675e-19, 0.15519597387439676), ('rhine', 2.776008981052931e-19, 0.15047754969212454), ('polic', 2.7686159379233e-19, 0.15005282152861915), ('twenti', 2.1951075535831817e-19, 0.11923405506988115), ('tourism', 2.0986390166954917e-19, 0.11374165583684615), ('passeng', 1.8342991571535228e-19, 0.09941504355358718), ('tour', 1.725024821805523e-19, 0.09349250583054067), ('minor', 1.5327399473245205e-19, 0.08266578073626586), ('spokesman', 1.4965559689076168e-19, 0.08070446170415614), ('suffer', 1.4078278632389382e-19, 0.0763024888047568), ('leav', 1.2718301715508138e-19, 0.06858435224990214), ('determin', 1.1864382073524293e-19, 0.06420907875567212), ('foreign', 9.969598757369337e-20, 0.05395483441443966), ('germani', 1.0024475481122287e-22, 0.37132389869779475), ('oberwesel', 7.970604063885873e-24, 0.2643921156794908), ('injur', -7.6153978202517025e-22, 0.10009418051755066), ('embank', -1.2402246048328444e-21, 0.16301007656109565)]",20
LA022790-0091,0,9.807556,4.513398363381604e-06,9.807527227405258,10,[9.80753411],401,"[('youth', 6.3762107887268735e-06, 0.29363013787905745), ('hurt', 4.30587078451454e-06, 0.19809770652568576), ('germani', 3.874930241484396e-06, 0.37132389869779475), ('west', 3.861764189310762e-06, 0.3264367016899173), ('minor', 2.3482231648625845e-06, 0.08266578073626586), ('injuri', 2.1294146034719786e-06, 0.09726128906157026), ('twenti', 1.9851335099330286e-06, 0.11923405506988115), ('determin', 1.7486298930194754e-06, 0.06420907875567212), ('center', 1.511313549386359e-06, 0.06933269185033786), ('foreign', 1.2774823743255476e-06, 0.05395483441443966), ('author', 1.2611462012954225e-06, 0.057609366296126625), ('februari', 1.1353461456224777e-06, 0.06638232973298923), ('home', 1.0735494905936065e-06, 0.04917584874868581), ('edit', 1.0413162498626646e-06, 0.04756226014418656), ('oberwesel', 1.0163936452211148e-06, 0.2643921156794908), ('report', 7.899752252162004e-07, 0.036082221690280906), ('part', 6.059410565966557e-07, 0.03638909352485184), ('time', 5.932615298232965e-07, 0.02709728719254022), ('injur', -1.0235015567425816e-07, 0.10009418051755066), ('embank', -2.774496172645593e-07, 0.16301007656109565)]",20
LA022790-0091,0,9.807556,0.07972114871073044,9.39237998397347,20,[9.50901011],401,"[('germani', 0.1647009909033925, 0.37132389869779475), ('youth', 0.06634502701427403, 0.29363013787905745), ('embank', 0.035958145858930625, 0.16301007656109565), ('road', 0.0344288091821396, 0.15519597387439676), ('twenti', 0.03249488939672144, 0.11923405506988115), ('diplomat', 0.029255631202990642, 0.0889016445121524), ('injuri', 0.029036957974905568, 0.09726128906157026), ('passeng', 0.02801646403110529, 0.09941504355358718), ('plung', 0.026802440027350983, 0.1100227789142805), ('minor', 0.02383511656098752, 0.08266578073626586), ('carri', 0.018752653579524325, 0.06522108212403958), ('citi', 0.014999633019212416, 0.058639505811145715), ('home', 0.01417720984894082, 0.04917584874868581), ('edit', 0.014089767493363766, 0.04756226014418656), ('word', 0.011967887908933422, 0.04404223970901656), ('foreign', 0.010930930784492223, 0.05395483441443966), ('report', 0.010743464587126269, 0.036082221690280906), ('part', 0.010405212712176285, 0.03638909352485184), ('time', 0.008155004815701916, 0.02709728719254022), ('west', 0.006766836248951207, 0.3264367016899173)]",20
LA022790-0091,0,9.807556,0.21173781268663605,8.82769641563996,50,[9.08833971],401,"[('germani', 1.261844388817906, 0.37132389869779475), ('minor', 0.6733719019460336, 0.08266578073626586), ('diplomat', 0.32640014430304204, 0.0889016445121524), ('foreign', 0.15949761814624647, 0.05395483441443966), ('carri', 0.09832795980554383, 0.06522108212403958), ('injuri', 0.06995190309318791, 0.09726128906157026), ('word', 0.0488056442621674, 0.04404223970901656), ('home', 0.04632397424782903, 0.04917584874868581), ('river', 0.04350605531757875, 0.09437865465256244), ('plung', 0.04320944000056874, 0.1100227789142805), ('time', 0.041763114204880235, 0.02709728719254022), ('immedi', 0.040529628682927955, 0.08378348573654067), ('part', 0.03522430553408135, 0.03638909352485184), ('twenti', 0.02010729607202921, 0.11923405506988115), ('report', 0.01679605192782126, 0.036082221690280906), ('personnel', 0.009557354601021561, 0.08544066693668544), ('wire', -0.01652249084470171, 0.07500260647273012), ('youth', -0.20653249875515017, 0.29363013787905745), ('road', -0.2336445652521494, 0.15519597387439676), ('west', -0.7327212398631543, 0.3264367016899173)]",20
LA022790-0091,0,9.807556,0.2427160491968361,8.795006913865679,100,[9.04023274],401,"[('germani', 1.522107509083568, 0.37132389869779475), ('minor', 1.311814708843038, 0.08266578073626586), ('diplomat', 0.5693766684186538, 0.0889016445121524), ('foreign', 0.3250226168157382, 0.05395483441443966), ('carri', 0.1606904250061615, 0.06522108212403958), ('word', 0.07626558752627093, 0.04404223970901656), ('injuri', 0.07463084943366338, 0.09726128906157026), ('time', 0.06867404074712731, 0.02709728719254022), ('home', 0.05742847023378467, 0.04917584874868581), ('river', 0.04901809040702644, 0.09437865465256244), ('part', 0.04563019676808439, 0.03638909352485184), ('immedi', 0.03226087493048669, 0.08378348573654067), ('plung', 0.024900797717636845, 0.1100227789142805), ('report', 0.004788552800100545, 0.036082221690280906), ('twenti', -0.03349839753559741, 0.11923405506988115), ('personnel', -0.051048272568158776, 0.08544066693668544), ('wire', -0.0845850868646153, 0.07500260647273012), ('youth', -0.39735572893426285, 0.29363013787905745), ('road', -0.46306715423926476, 0.15519597387439676), ('west', -1.0140089563502659, 0.3264367016899173)]",20
LA022790-0091,0,9.807556,0.253424002540673,8.784355540553914,200,[9.03616169],401,"[('germani', 1.5889612482529012, 0.37132389869779475), ('minor', 1.5477280108698428, 0.08266578073626586), ('diplomat', 0.6590943813526333, 0.0889016445121524), ('foreign', 0.3910618868346378, 0.05395483441443966), ('carri', 0.18333204663117084, 0.06522108212403958), ('word', 0.08632188674114194, 0.04404223970901656), ('time', 0.07872199350093007, 0.02709728719254022), ('injuri', 0.07502680521069177, 0.09726128906157026), ('home', 0.06065640700473533, 0.04917584874868581), ('river', 0.05137224611078415, 0.09437865465256244), ('part', 0.04904485645497678, 0.03638909352485184), ('immedi', 0.027758985330782446, 0.08378348573654067), ('plung', 0.014107659156783121, 0.1100227789142805), ('report', -0.0006743808638532642, 0.036082221690280906), ('tuesdai', -0.0014706341217041094, 0.0662068552004013), ('twenti', -0.05195017122853077, 0.11923405506988115), ('personnel', -0.07676449548532695, 0.08544066693668544), ('youth', -0.4546996982534552, 0.29363013787905745), ('road', -0.5388684187514805, 0.15519597387439676), ('west', -1.08601824592031, 0.3264367016899173)]",20
LA022790-0091,0,9.807556,0.2567956249655873,8.781273327712002,500,[9.03388038],401,"[('minor', 1.6206654220632895, 0.08266578073626586), ('germani', 1.6079071448561693, 0.37132389869779475), ('diplomat', 0.6871514760049063, 0.0889016445121524), ('foreign', 0.4119421179612607, 0.05395483441443966), ('carri', 0.19033287827052622, 0.06522108212403958), ('word', 0.08950166156587192, 0.04404223970901656), ('time', 0.08189385716217505, 0.02709728719254022), ('injuri', 0.07524868790595204, 0.09726128906157026), ('home', 0.061597446308572196, 0.04917584874868581), ('river', 0.0522307047884111, 0.09437865465256244), ('part', 0.050123602477256356, 0.03638909352485184), ('immedi', 0.026301631926735937, 0.08378348573654067), ('plung', 0.010396918355669079, 0.1100227789142805), ('report', -0.0023820148232895104, 0.036082221690280906), ('tuesdai', -0.003353247821376856, 0.0662068552004013), ('twenti', -0.05735563664300166, 0.11923405506988115), ('personnel', -0.08472097278956284, 0.08544066693668544), ('youth', -0.47082750747340857, 0.29363013787905745), ('road', -0.5611973369236447, 0.15519597387439676), ('west', -1.105970984590012, 0.3264367016899173)]",20
LA022790-0091,0,9.807556,0.2572891674467276,8.780824245006398,1000,[9.0335683],401,"[('minor', 1.631343210195022, 0.08266578073626586), ('germani', 1.6106186561845042, 0.37132389869779475), ('diplomat', 0.6912656515720399, 0.0889016445121524), ('foreign', 0.41501872759242964, 0.05395483441443966), ('carri', 0.19135658600784994, 0.06522108212403958), ('word', 0.08996789500958159, 0.04404223970901656), ('time', 0.08235940562394184, 0.02709728719254022), ('injuri', 0.07527904188409147, 0.09726128906157026), ('home', 0.06173181759611263, 0.04917584874868581), ('river', 0.05235880989512152, 0.09437865465256244), ('part', 0.05028056058056746, 0.03638909352485184), ('immedi', 0.02608384477133611, 0.08378348573654067), ('plung', 0.009838775427989261, 0.1100227789142805), ('report', -0.002634422680884438, 0.036082221690280906), ('tuesdai', -0.0036277235070846154, 0.0662068552004013), ('twenti', -0.058137059109450426, 0.11923405506988115), ('personnel', -0.08589350118502381, 0.08544066693668544), ('youth', -0.47314668449960645, 0.29363013787905745), ('road', -0.5644342457371424, 0.15519597387439676), ('west', -1.1088136489557052, 0.3264367016899173)]",20
LA022790-0091,0,9.807556,0.25744773800181875,8.78068006583014,5000,[9.03346919],401,"[('minor', 1.634773907761602, 0.08266578073626586), ('germani', 1.6114866013077012, 0.37132389869779475), ('diplomat', 0.6925878791929059, 0.0889016445121524), ('foreign', 0.41600829438126224, 0.05395483441443966), ('carri', 0.19168543165775487, 0.06522108212403958), ('word', 0.09011773263911295, 0.04404223970901656), ('time', 0.08250904850263004, 0.02709728719254022), ('injuri', 0.07528868112585231, 0.09726128906157026), ('home', 0.061774805005014824, 0.04917584874868581), ('river', 0.05240010084962701, 0.09437865465256244), ('part', 0.05033093762087325, 0.03638909352485184), ('immedi', 0.02601363378280425, 0.08378348573654067), ('plung', 0.009658648581954171, 0.1100227789142805), ('report', -0.002715647359176145, 0.036082221690280906), ('tuesdai', -0.0037158450346313496, 0.0662068552004013), ('twenti', -0.05838757896392471, 0.11923405506988115), ('personnel', -0.08627063802044911, 0.08544066693668544), ('youth', -0.4738896041497515, 0.29363013787905745), ('road', -0.565472537059536, 0.15519597387439676), ('west', -1.1097228601965132, 0.3264367016899173)]",20
