cdfr,cne,cpe,dfr,doc_id,doc_rel,doc_score,kernel,ne,pe,query_id,top_feat
[[1.1375502]],[[0.10224168]],[[0.21079674]],0.9622875220842453,LA022790-0091,0,9.807556,0,3.1951966713262148,3.320417856407043,401,30
[[1.14298205]],[[0.10339953]],[[0.21556032]],0.9609527513833767,LA022790-0091,0,9.807556,1,3.1361555445122766,3.2635897446544617,401,30
[[1.14306749]],[[0.10775964]],[[0.21943335]],0.9640064242551478,LA022790-0091,0,9.807556,2,3.138785652575115,3.255980015901179,401,30
[[1.14338258]],[[0.10054058]],[[0.21333468]],0.9635688817554354,LA022790-0091,0,9.807556,3,3.1592221171234605,3.278667645812691,401,30
[[1.14542748]],[[0.10010027]],[[0.21435468]],0.964884598252291,LA022790-0091,0,9.807556,4,3.166628652700733,3.2818729394546162,401,30
[[1.14021382]],[[0.10879452]],[[0.21838741]],0.9590719605097587,LA022790-0091,0,9.807556,5,3.1246887641529977,3.2580336959201546,401,30
[[1.14318378]],[[0.10246214]],[[0.21487877]],0.9634133312836093,LA022790-0091,0,9.807556,6,3.153578382786968,3.273338950567852,401,30
[[1.1375503]],[[0.10902671]],[[0.21676141]],0.9603818385640717,LA022790-0091,0,9.807556,7,3.144860955160736,3.2745943632824406,401,30
[[1.14236226]],[[0.10196045]],[[0.21387498]],0.9637342590377501,LA022790-0091,0,9.807556,8,3.167729460361441,3.286932503078485,401,30
[[1.14008119]],[[0.10181667]],[[0.21217599]],0.9637149010245591,LA022790-0091,0,9.807556,9,3.1922288300526978,3.312420329559009,401,30
[[1.13794948]],[[0.10463421]],[[0.21317615]],0.9621494254352738,LA022790-0091,0,9.807556,10,3.176441650166466,3.3014015975007753,401,30
[[0.99556061]],[[0.05644514]],[[0.05223765]],0.9297331087333319,LA022790-0091,0,9.807556,11,3.085203567859256,3.3183754981712292,401,30
[[1.13888471]],[[0.10477704]],[[0.21394769]],0.9612486609724717,LA022790-0091,0,9.807556,12,3.1555922063093242,3.282805307751367,401,30
[[1.14513926]],[[0.10423292]],[[0.21776581]],0.9640663654883451,LA022790-0091,0,9.807556,13,3.1393418485340576,3.2563545010138726,401,30
[[0.9916746]],[[0.03095522]],[[0.02281981]],0.9306317432976174,LA022790-0091,0,9.807556,14,2.9531398625844054,3.1732636285542934,401,30
[[1.14690588]],[[0.09827904]],[[0.21377946]],0.963547810085963,LA022790-0091,0,9.807556,15,3.1467528554769943,3.2657983574227174,401,30
