cdfr,cne,cpe,dfr,doc_id,doc_rel,doc_score,kernel,ne,pe,query_id,top_feat
[[1.00004542]],[[0.02735015]],[[0.02739433]],0.9316423174487658,LA022790-0091,0,9.807556,0,2.534088087076223,2.7200225232529553,401,15
[[1.00390397]],[[0.017249]],[[0.02107071]],0.9302790367536555,LA022790-0091,0,9.807556,1,2.6491892704832702,2.8477361800261596,401,15
[[1.00212734]],[[0.01921811]],[[0.02130013]],0.9291335459368518,LA022790-0091,0,9.807556,2,2.579279476177839,2.7760051151496565,401,15
[[0.99716256]],[[0.02105008]],[[0.01826447]],0.9295661731152159,LA022790-0091,0,9.807556,3,2.632297847711377,2.8317487488705275,401,15
[[1.16310358]],[[0.10572435]],[[0.23112982]],0.9632292606680972,LA022790-0091,0,9.807556,4,2.822776156454119,2.9305340604958756,401,15
[[1.15961989]],[[0.10552106]],[[0.22864471]],0.9629294977576768,LA022790-0091,0,9.807556,5,2.840889959555197,2.9502574863171476,401,15
[[1.15976517]],[[0.10659785]],[[0.22966978]],0.9607365019546918,LA022790-0091,0,9.807556,6,2.8084318444308467,2.9232071839852836,401,15
[[0.99758049]],[[0.04848631]],[[0.04617853]],0.9271947524794103,LA022790-0091,0,9.807556,7,2.802844839132953,3.022930006493101,401,15
[[0.994912]],[[0.0236862]],[[0.01869331]],0.9289688502060444,LA022790-0091,0,9.807556,8,2.464304111955693,2.6527306178340777,401,15
[[1.00776062]],[[0.01965931]],[[0.02720877]],0.9325140113943259,LA022790-0091,0,9.807556,9,2.581949441333838,2.7688049828583505,401,15
[[1.00539916]],[[0.01513478]],[[0.02042367]],0.9321431470651026,LA022790-0091,0,9.807556,10,2.664589539678575,2.858562601750775,401,15
[[1.00129897]],[[0.01920271]],[[0.02047509]],0.9293588507365371,LA022790-0091,0,9.807556,11,2.661357547309267,2.863649004041962,401,15
[[1.00770684]],[[0.01353752]],[[0.02108188]],0.9333769359573976,LA022790-0091,0,9.807556,12,2.7136330747662476,2.907328186744596,401,15
[[1.00575745]],[[0.01700427]],[[0.02263142]],0.9323527857704194,LA022790-0091,0,9.807556,13,2.672885191470418,2.866817402451119,401,15
[[0.99200984]],[[0.03395573]],[[0.02617471]],0.927931968338929,LA022790-0091,0,9.807556,14,2.389496136474593,2.5750768569294777,401,15
[[0.99549548]],[[0.02068833]],[[0.01625704]],0.9283596485803952,LA022790-0091,0,9.807556,15,2.5383211467879097,2.73420021073664,401,15
[[0.99186742]],[[0.02341166]],[[0.01540436]],0.9274409972313329,LA022790-0091,0,9.807556,16,2.517924166946059,2.7149157460827773,401,15
[[1.00734926]],[[0.01446473]],[[0.02165484]],0.9339545438486159,LA022790-0091,0,9.807556,17,2.7234329461393187,2.916023016405773,401,15
[[1.18411323]],[[0.11758269]],[[0.25478638]],0.9623254873554785,LA022790-0091,0,9.807556,18,2.701491427583056,2.807253328608076,401,15
[[0.99621635]],[[0.0194449]],[[0.01572073]],0.9287985500455679,LA022790-0091,0,9.807556,19,2.5144374925077533,2.7071936022987892,401,15
[[1.15795083]],[[0.10293441]],[[0.22529907]],0.9636280797465446,LA022790-0091,0,9.807556,20,2.8654661473882532,2.9736225081173786,401,15
[[1.00708482]],[[0.02390507]],[[0.03077188]],0.9328114115583552,LA022790-0091,0,9.807556,21,2.601515883391578,2.7888980035583875,401,15
[[0.99854329]],[[0.02433805]],[[0.02291472]],0.9281132322782784,LA022790-0091,0,9.807556,22,2.6165259839170916,2.8191883198283856,401,15
[[0.9971082]],[[0.03069904]],[[0.02788789]],0.9304215957354344,LA022790-0091,0,9.807556,23,2.543326052509679,2.7335200130424253,401,15
[[1.00089928]],[[0.01749452]],[[0.01837727]],0.9299667992587537,LA022790-0091,0,9.807556,24,2.683119013318719,2.88517720789317,401,15
[[0.99567782]],[[0.01909263]],[[0.01483457]],0.9285666292748533,LA022790-0091,0,9.807556,25,2.5625229913958933,2.759654407780137,401,15
[[1.15927433]],[[0.10181497]],[[0.22521787]],0.9647771251457669,LA022790-0091,0,9.807556,26,2.8776658406691147,2.982726026214948,401,15
[[0.99281282]],[[0.02206576]],[[0.01498628]],0.9272783077166326,LA022790-0091,0,9.807556,27,2.5106424084729566,2.70753924423754,401,15
[[1.00617342]],[[0.01677783]],[[0.02281043]],0.9320005765204795,LA022790-0091,0,9.807556,28,2.6417730305918488,2.8345186657014896,401,15
[[1.00963497]],[[0.0171391]],[[0.02651856]],0.9340814311427887,LA022790-0091,0,9.807556,29,2.605542307172917,2.7894166614416083,401,15
[[1.15781677]],[[0.13238606]],[[0.25064659]],0.9823873888962705,FBIS3-20090,1,9.290847,0,2.396215547849572,2.439175802675727,401,15
[[1.16227016]],[[0.10795287]],[[0.23249588]],0.9883919476301817,FBIS3-20090,1,9.290847,1,2.5636147671838314,2.593722837716842,401,15
[[1.19460724]],[[0.0841206]],[[0.23332174]],0.9964792436586488,FBIS3-20090,1,9.290847,2,2.559555889791052,2.568599302072213,401,15
[[1.45266369]],[[0.14589062]],[[0.41203915]],1.026629258351514,FBIS3-20090,1,9.290847,3,2.6970699274068966,2.627111886269103,401,15
[[1.0180882]],[[0.05541935]],[[0.07220155]],0.9397563556079648,FBIS3-20090,1,9.290847,4,2.399569814234213,2.553395675288451,401,15
[[1.17158486]],[[0.08446681]],[[0.21855154]],0.9932181397481312,FBIS3-20090,1,9.290847,5,2.562120145607472,2.5796147322250844,401,15
[[1.04211107]],[[0.07031221]],[[0.10788032]],0.9430844993601541,FBIS3-20090,1,9.290847,6,2.454362682383139,2.602484384006235,401,15
[[1.17553641]],[[0.10149299]],[[0.23566211]],0.987470738440104,FBIS3-20090,1,9.290847,7,2.437776296148642,2.4687073765847165,401,15
[[1.16979971]],[[0.1020653]],[[0.23240304]],0.9867452900535829,FBIS3-20090,1,9.290847,8,2.5226976272638355,2.556584412099749,401,15
[[1.0051244]],[[0.0843837]],[[0.08905176]],0.9338790365253735,FBIS3-20090,1,9.290847,9,2.414556761226548,2.5855133981915275,401,15
[[1.05461327]],[[0.04145955]],[[0.09109768]],0.9499836897405983,FBIS3-20090,1,9.290847,10,2.505287828335072,2.637190359572556,401,15
[[1.02464468]],[[0.04624367]],[[0.06918335]],0.9390112628544095,FBIS3-20090,1,9.290847,11,2.42561803987137,2.583161816928551,401,15
[[1.01654315]],[[0.0688835]],[[0.08403643]],0.9356041851681361,FBIS3-20090,1,9.290847,12,2.517839832850005,2.6911378473553187,401,15
[[1.03715176]],[[0.03282523]],[[0.06747035]],0.946614320346994,FBIS3-20090,1,9.290847,13,2.38738842312865,2.522028635963928,401,15
[[1.01158212]],[[0.05086141]],[[0.06172858]],0.9368711324979017,FBIS3-20090,1,9.290847,14,2.4651081576716063,2.631213698621595,401,15
[[1.04965639]],[[0.04452231]],[[0.08972336]],0.9464314504532392,FBIS3-20090,1,9.290847,15,2.5495215995975755,2.69382594838393,401,15
[[1.15582209]],[[0.09106925]],[[0.2136067]],0.9848255990335709,FBIS3-20090,1,9.290847,16,2.4727856535169854,2.5108868574736274,401,15
[[1.33538424]],[[0.12713115]],[[0.34635379]],0.9858261747599122,FBIS3-20090,1,9.290847,17,2.649474897462442,2.6875680168541822,401,15
[[1.45867737]],[[0.1457556]],[[0.41437057]],1.0285682867807675,FBIS3-20090,1,9.290847,18,2.7219850927736617,2.6463824791769364,401,15
[[1.03192042]],[[0.05871906]],[[0.08783572]],0.9418142738513635,FBIS3-20090,1,9.290847,19,2.5430160394242747,2.700124759232107,401,15
[[1.1591418]],[[0.08068619]],[[0.20690134]],0.9873223160116374,FBIS3-20090,1,9.290847,20,2.511959089389829,2.5442138283038878,401,15
