cdfr,cne,cpe,dfr,doc_id,doc_rel,doc_score,kernel,ne,pe,query_id,top_feat
[[1.1454513]],[[0.10775967]],[[0.22105782]],0.9642741213780927,LA022790-0091,0,9.807556,0,3.118997808380698,3.2345551324380475,401,30
[[1.15685364]],[[0.10698431]],[[0.22806511]],0.9646730582065727,LA022790-0091,0,9.807556,1,3.0807391451538115,3.193557774777317,401,30
[[1.14585745]],[[0.11100623]],[[0.22416721]],0.9630845600563991,LA022790-0091,0,9.807556,2,3.0973255618739177,3.2160473652412573,401,30
[[1.14369614]],[[0.11464202]],[[0.22588006]],0.9603988655399363,LA022790-0091,0,9.807556,3,3.0698357469849746,3.196417506448337,401,30
[[1.14669732]],[[0.11437048]],[[0.22766932]],0.964904794789465,LA022790-0091,0,9.807556,4,3.0803124242125275,3.192348551739375,401,30
[[1.14361665]],[[0.10361458]],[[0.21618366]],0.9629135318591182,LA022790-0091,0,9.807556,5,3.1374711744253974,3.258310399239912,401,30
[[1.14874483]],[[0.10447986]],[[0.22043598]],0.9661535936081589,LA022790-0091,0,9.807556,6,3.128476265294682,3.2380734139912457,401,30
[[1.1409778]],[[0.1129339]],[[0.22253869]],0.9594345237864791,LA022790-0091,0,9.807556,7,3.0912926808028587,3.2219944187570446,401,30
[[1.15171284]],[[0.11211687]],[[0.22907595]],0.9642201830331008,LA022790-0091,0,9.807556,8,3.0317551260263427,3.144256031324191,401,30
[[1.14293657]],[[0.10418731]],[[0.21621837]],0.9666236218503139,LA022790-0091,0,9.807556,9,3.1742462635340054,3.2838492581609513,401,30
[[0.99894662]],[[0.05418116]],[[0.0531838]],0.9328438444697023,LA022790-0091,0,9.807556,10,3.100824808190302,3.3240556032752098,401,30
[[1.14736788]],[[0.10432047]],[[0.21936151]],0.9664261288273842,LA022790-0091,0,9.807556,11,3.1468968892050357,3.256220827786736,401,30
[[1.14555991]],[[0.10976772]],[[0.22288457]],0.9623114997392189,LA022790-0091,0,9.807556,12,3.107981610727749,3.2297043229453193,401,30
[[1.15155393]],[[0.12014201]],[[0.23593853]],0.960391653625534,LA022790-0091,0,9.807556,13,3.03960802454603,3.1649671392617105,401,30
[[1.15145891]],[[0.10933909]],[[0.22649354]],0.9684050089224948,LA022790-0091,0,9.807556,14,3.0940859955242512,3.1950330357821217,401,30
[[0.99370832]],[[0.0596564]],[[0.0537026]],0.9296211220536397,LA022790-0091,0,9.807556,15,3.046136939474363,3.276750998024977,401,30
[[1.13846803]],[[0.1048594]],[[0.21373234]],0.9591561928498659,LA022790-0091,0,9.807556,16,3.127385802008597,3.260559463955959,401,30
[[1.14106617]],[[0.11372183]],[[0.22328942]],0.9575212242137661,LA022790-0091,0,9.807556,17,3.0599291441390903,3.195677617121898,401,30
[[1.16259804]],[[0.1172933]],[[0.24074644]],0.9648017890883644,LA022790-0091,0,9.807556,18,3.002649375024868,3.1121930006598078,401,30
